Altium Designer Pick and Place Locations,,,,,,,
C:\Users\ASUS\OneDrive\Desktop\HOC ALTIUM\ESP32_CUSTOM\Project Outputs for ESP32_CUSTOM\Pick Place\Pick Place for PCB_ESP32(Prototype).csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       15/10/25,,,,,,,
Time:       20:25,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    Prototype,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
C14,"0.1nF, 50V",TopLayer,CAPC1005X70N,2555,845,180,CAP CER 0.1UF 50V X7R 0402
C13,"10uF, 10V",TopLayer,CAPC1005X70N,520,225,270,CAP CER 10UF 10V X5R 0402
C12,"10uF, 10V",TopLayer,CAPC1005X70N,575,225,270,CAP CER 10UF 10V X5R 0402
C11,4.7uF,TopLayer,CAPC1005X70N,575,355,90,CAP CER 4.7UF 16V X5R 0402
C10,"10uF, 10V",TopLayer,CAPC1005X70N,435,370,180,CAP CER 10UF 10V X5R 0402
C9,"0.1nF, 50V",TopLayer,CAPC1005X70N,520,690,0,CAP CER 0.1UF 50V X7R 0402
C7,"0.1nF, 50V",TopLayer,CAPC1005X70N,881,791,180,CAP CER 0.1UF 50V X7R 0402
C6,"0.1nF, 50V",TopLayer,CAPC1005X70N,520,850,0,CAP CER 0.1UF 50V X7R 0402
C5,4.7uF,TopLayer,CAPC1005X70N,745,610,180,CAP CER 4.7UF 16V X5R 0402
C4,4.7uF,TopLayer,CAPC1005X70N,745,555,180,CAP CER 4.7UF 16V X5R 0402
C3,"10uF, 10V",TopLayer,CAPC1005X70N,430,630,180,CAP CER 10UF 10V X5R 0402
C2,"0.1nF, 50V",TopLayer,CAPC1005X70N,2635,139,0,CAP CER 0.1UF 50V X7R 0402
C1,"0.1nF, 50V",TopLayer,CAPC1005X70N,2645,845,180,CAP CER 0.1UF 50V X7R 0402
